finding_id	statement	source_kind	epistemic_status	gate	population_json	measurements_json	evidence_id	json_pointers	artifact_limits_json
G16_MATCHING_GATE15_FAMILY_LOCAL_GEOMETRY_ALIGNMENT	matching_gate15_family_local_geometry_alignment	MACHINE_DERIVED	OBSERVED	GATE16	{"objects":1091,"completed":1048,"censored":43,"instruments":6}	{"nearest_neighbor_same_family_rate":0.904580,"population":3144}	G16_FINDINGS	/findings/3,/object_population,/completed_objects,/censored_objects,/instruments	"retrospective diagnostic only"
G16_MASTER_POINT_STATE_DESCRIPTIVELY_ORGANIZES_CANONICAL_TRAJECTORY_DISTANCE	master_point_state_descriptively_organizes_canonical_trajectory_distance	MACHINE_DERIVED	OBSERVED	GATE16	{"objects":1091,"completed":1048,"censored":43,"instruments":6}	{"same_stratum_median":0.3371167911668911,"different_stratum_median":0.3721592142336868,"population":1048}	G16_FINDINGS	/findings/4,/object_population,/completed_objects,/censored_objects,/instruments	"no blocked uncertainty and no auction interval conditioning"
G16_5_OBSERVATION_01	No summary or trajectory contract produced an exact or machine-derived epsilon-near collision in the admitted RG3 corpus.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/0,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G16_RAW_AND_CANONICAL_TRAJECTORY_GEOMETRY_RELATED_NOT_IDENTICAL	raw_and_canonical_trajectory_geometry_related_not_identical	MACHINE_DERIVED	OBSERVED	GATE16	{"objects":1091,"completed":1048,"censored":43,"instruments":6}	{"compression_top10_jaccard":0.3813799066239014,"compression_shared_rank_correlation":0.9800410268398156,"expansion_top10_jaccard":0.42708661509881646,"expansion_shared_rank_correlation":0.8583346015829771}	G16_FINDINGS	/findings/0,/object_population,/completed_objects,/censored_objects,/instruments	["universal best representation","new family or taxonomy","prediction or economic meaning","confirmation-run transportability","auction episode overlap organization"]
G16_EVENT_AND_GRAPH_NEIGHBORHOODS_DIFFER	event_and_graph_neighborhoods_differ	MACHINE_DERIVED	OBSERVED	GATE16	{"objects":1091,"completed":1048,"censored":43,"instruments":6}	{"compression_top10_jaccard":0.1854177730036405,"expansion_top10_jaccard":0.06378399530424586}	G16_FINDINGS	/findings/1,/object_population,/completed_objects,/censored_objects,/instruments	"incremental graph information unresolved because RG3 lacks intrinsic branch and merge authority"
G16_REPRESENTATION_LOSS_VISIBLE_IN_ZERO_DISTANCE_TOP10_EDGES	representation_loss_visible_in_zero_distance_top10_edges	MACHINE_DERIVED	OBSERVED	GATE16	{"objects":1091,"completed":1048,"censored":43,"instruments":6}	{"event_sequence_material_collisions":2970,"graph_material_collisions":9520,"scope":"exact within emitted top-10 neighbor edges, not all pairs"}	G16_FINDINGS	/findings/2,/object_population,/completed_objects,/censored_objects,/instruments	["universal best representation","new family or taxonomy","prediction or economic meaning","confirmation-run transportability","auction episode overlap organization"]
G16_5_OBSERVATION_05	Typed-multiset and WL2 graph zero kernels were identical for expansion and nearly identical for compression.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/4,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G16_5_OBSERVATION_06	Graph disagreement did not establish incremental information because authoritative branch/merge topology is unavailable.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/5,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G16_5_OBSERVATION_07	Point-state structural strata showed a small pooled distance association with mixed run-level signs; auction interval conditioning remained not evaluable.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/6,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
G16_5_OBSERVATION_02	Every event and graph exact-zero pair retained different raw-history and continuous-trajectory hashes.	MACHINE_DERIVED	OBSERVED	GATE16_5	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	{"census":{"contract_qualified_evaluations":5941620,"exact_zero_relations":498115,"unique_exact_zero_object_pairs":161957,"unique_by_kind":{"COMPRESSION":31811,"EXPANSION":130146},"epsilon_near_relations":0,"not_comparable_relations":276174}}	G16_5_FINDINGS	/observations/1,/census	["raw object equivalence","best representation","universal geometry","family truth","prediction","mechanism","economic meaning"]
