"campaign_contract"	"campaign_id"	"manifest_role"	"research_generation"	"canonical_instrument"	"broker_symbol"	"data_source_id"	"timeframe"	"window_id"	"from_date"	"to_date"	"window_start"	"window_end"	"window_end_exclusive"	"selection_class"	"environment_stratum"	"selection_reason"	"selection_evidence"	"sampling_control_only"	"behavioral_feature_eligible"	"configuration_hash"	"controller_build_id"	"preset_id"	"dedup_identity"	"dedup_key_sha256"	"planned_data_slice_id"	"execution_status"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260413_DIRECTIONAL_EXPANSION_UP"	"2026.04.13"	"2026.04.18"	"1776038400"	"1776470100"	"1776470400"	"DIRECTIONAL_EXPANSION_UP"	"DIRECTIONAL"	"upper-tail positive net displacement with high path efficiency"	"net_relative=0.049532;range_relative=0.058880;realized_volatility=0.020474;efficiency=0.103835;reversal_score=0.050769;events=61;event_score=94;high_events=3;bars=1307"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1776038400|1776470100|4284550518493202411|2"	"237d4af6023840c47600f4d70f03cca9c10f02031e5496064f453ab0b60172b6"	"DE40_20260413_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260302_DIRECTIONAL_EXPANSION_DOWN"	"2026.03.02"	"2026.03.07"	"1772409600"	"1772841300"	"1772841600"	"DIRECTIONAL_EXPANSION_DOWN"	"DIRECTIONAL"	"lower-tail negative net displacement with high path efficiency"	"net_relative=-0.049549;range_relative=0.067557;realized_volatility=0.033610;efficiency=0.058520;reversal_score=0.054788;events=74;event_score=115;high_events=4;bars=1303"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1772409600|1772841300|4284550518493202411|2"	"21ba193bd76ce2475057652424a114401069f68969ccc9cf6410edae7cd62bf6"	"DE40_20260302_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20251215_PROLONGED_BALANCE"	"2025.12.15"	"2025.12.20"	"1765756800"	"1766188500"	"1766188800"	"PROLONGED_BALANCE"	"COMMON"	"small weekly range and low net-to-path efficiency"	"net_relative=0.003012;range_relative=0.020251;realized_volatility=0.015198;efficiency=0.007284;reversal_score=0.018853;events=72;event_score=115;high_events=5;bars=1307"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1765756800|1766188500|4284550518493202411|2"	"c01bee2a8711507907d1d0b74b08769d16b40a759fbc8d0b3f0589588e66fd60"	"DE40_20251215_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260330_HIGH_VOLATILITY"	"2026.03.30"	"2026.04.04"	"1774828800"	"1775260500"	"1775260800"	"HIGH_VOLATILITY"	"SPARSE"	"upper-tail realized five-minute volatility"	"net_relative=0.054695;range_relative=0.067436;realized_volatility=0.033205;efficiency=0.072090;reversal_score=0.057706;events=67;event_score=92;high_events=2;bars=1042"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1774828800|1775260500|4284550518493202411|2"	"32adcffcce090aac03f60b2b641950410dd414a218062a6a0a69fb456d6a8ee4"	"DE40_20260330_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260112_LOW_VOLATILITY"	"2026.01.12"	"2026.01.17"	"1768176000"	"1768607700"	"1768608000"	"LOW_VOLATILITY"	"SPARSE"	"lower-tail realized five-minute volatility with complete sessions"	"net_relative=0.002454;range_relative=0.012436;realized_volatility=0.012516;efficiency=0.007484;reversal_score=0.005110;events=49;event_score=65;high_events=0;bars=1304"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1768176000|1768607700|4284550518493202411|2"	"83984c635f0a7ac0681c744442863c6c1b9317c36c092ec944badcab0225f419"	"DE40_20260112_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260316_SHARP_REVERSAL"	"2026.03.16"	"2026.03.21"	"1773619200"	"1774050900"	"1774051200"	"SHARP_REVERSAL"	"SPARSE"	"large excursion opposite the final weekly direction followed by recovery"	"net_relative=-0.050007;range_relative=0.079972;realized_volatility=0.032675;efficiency=0.060395;reversal_score=0.075925;events=47;event_score=77;high_events=6;bars=1365"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1773619200|1774050900|4284550518493202411|2"	"58a94ebfc98c46e348e3bd03098f99b7ed3ec9c73110a17c50967835fb277c6b"	"DE40_20260316_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260202_ORDINARY"	"2026.02.02"	"2026.02.07"	"1769990400"	"1770422100"	"1770422400"	"ORDINARY"	"COMMON"	"nearest multivariate median across volatility range efficiency net movement and event density"	"net_relative=0.013780;range_relative=0.036953;realized_volatility=0.024283;efficiency=0.021568;reversal_score=0.021862;events=61;event_score=94;high_events=6;bars=1306"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1769990400|1770422100|4284550518493202411|2"	"919c46f55464139f16aaa7649296bd532ba29791507f48db3145b6783622376d"	"DE40_20260202_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260427_EVENT_HEAVY"	"2026.04.27"	"2026.05.02"	"1777248000"	"1777679700"	"1777680000"	"EVENT_HEAVY"	"SPARSE"	"highest currency-calendar density weighted by official event importance"	"net_relative=0.005142;range_relative=0.031818;realized_volatility=0.019066;efficiency=0.011611;reversal_score=0.028260;events=88;event_score=142;high_events=8;bars=1055"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1777248000|1777679700|4284550518493202411|2"	"556e3cba1ea55b40c7393e5730f5e8348c934ac5aaab16f54a76d371bbc74b57"	"DE40_20260427_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"DE40"	"DE40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"DE40_20260706_QUIET"	"2026.07.06"	"2026.07.11"	"1783296000"	"1783727700"	"1783728000"	"QUIET"	"SPARSE"	"lowest currency-calendar density among complete nonholiday weeks"	"net_relative=-0.026695;range_relative=0.042205;realized_volatility=0.018897;efficiency=0.057392;reversal_score=0.030869;events=35;event_score=47;high_events=1;bars=1307"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"DE40|METAQUOTES_DEMO|1783296000|1783727700|4284550518493202411|2"	"fd1fb7b96917434c5f0dae243966ea24d0fc05065f70c881bdc11aedae200241"	"DE40_20260706_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
"MST_CAMPAIGN_SAMPLING_FRAME_V1"	"RG2_SIX_INDEX_ENVIRONMENT_FRAME_V1"	"PRODUCTION_DISCOVERY"	"2"	"FRA40"	"FRA40"	"METAQUOTES_DEMO"	"PERIOD_M5"	"FRA40_20260330_DIRECTIONAL_EXPANSION_UP"	"2026.03.30"	"2026.04.04"	"1774828800"	"1775260500"	"1775260800"	"DIRECTIONAL_EXPANSION_UP"	"DIRECTIONAL"	"upper-tail positive net displacement with high path efficiency"	"net_relative=0.049553;range_relative=0.054403;realized_volatility=0.030376;efficiency=0.070638;reversal_score=0.052971;events=67;event_score=92;high_events=2;bars=1092"	"1"	"0"	"4284550518493202411"	"MASTER_STRUCTURE_RG2_REPLAY_WINDOW_GATE_V1"	"RG2_M5_SIX_INDEX_V1"	"FRA40|METAQUOTES_DEMO|1774828800|1775260500|4284550518493202411|2"	"de5dd03356edd841a29ba9546ce4acbb6610f5fee50d21e0cf3d3abeb7ceccb3"	"FRA40_20260330_M5_RG2_CAMPAIGN_V1"	"PLANNED_FROZEN"
