order	stage_id	claim_class	input_boundary	mt5_role	rust_role	status	compared_outputs	certified_scope	explicit_exclusion	evidence_ids
10	C1_RAW_STRUCTURAL_PRODUCERS	INDEPENDENT_RECONSTRUCTION_PARITY	raw historical bars plus producer warmup/state	AUTHORITATIVE_PRODUCER	NO_INDEPENDENT_IMPLEMENTATION_ADMITTED	OPEN	none	VolKitt, profile, day-swings, and Wayne producer semantics	no claim of Rust C1 reconstruction or parity	P12_BD_MACHINE,P12_BD_CERTIFICATE,P12_CHECKPOINT
20	C2_NORMALIZATION_AND_CANONICAL_ORDERING	INDEPENDENT_RECONSTRUCTION_PARITY	MT5 raw producer-output tape	COMPARISON_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	487662 normalized levels over 5155 frames	bounded US30 M5 development oracle	does not cover producer calculations before the tape boundary	P12_BD_MACHINE,MT5_ORACLE
30	C3_COMPATIBILITY_AND_DBSCAN	INDEPENDENT_RECONSTRUCTION_PARITY	canonical normalized levels	COMPARISON_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	1554 DBSCAN rebuilds	compatibility-gated one-dimensional clustering on bounded US30 M5 oracle	no alternative epsilon, compatibility, or observer configuration coverage	P12_BD_MACHINE,MT5_ORACLE
40	C4_NODE_PROVENANCE_AND_LIFECYCLE	INDEPENDENT_RECONSTRUCTION_PARITY	cluster memberships and normalized producer provenance	COMPARISON_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	40459 stable-node rows and 283419 provenance rows	weighted nodes, provenance, stable identity and lifecycle on bounded US30 M5 oracle	no claim beyond admitted node/lifecycle semantics	P12_BD_MACHINE,MT5_ORACLE
50	C5_CORRIDOR_AND_REGIONAL_STATE	INDEPENDENT_RECONSTRUCTION_PARITY	stable topology and reference ATR	COMPARISON_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	5155 regional snapshots	corridors, median, COG, and population-sigma regional state on bounded US30 M5 oracle	no auction-interval bridge and no cross-scale transport claim	P12_BD_MACHINE,MT5_ORACLE
60	D1_CAUSAL_FROZEN_FEATURES	INDEPENDENT_RECONSTRUCTION_PARITY	causal frame before auction observation	COMPARISON_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT_CAUSAL_FRAME	5155 causal feature snapshots	feature/frame bijection and frozen context on bounded US30 M5 oracle	no future information and no C1 reconstruction claim	P12_BD_MACHINE,MT5_ORACLE
70	D2_AUCTION_STATE_AND_RELATIONAL_LEDGER	INDEPENDENT_RECONSTRUCTION_PARITY	reconstructed topology, region, and causal features	BEHAVIORAL_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	643 events, 145 attempts, and 52 episodes	event order, relational rows, censoring, and terminal hash on bounded US30 M5 oracle	behavioral ontology only; no economic or trading authority	P12_BD_MACHINE
80	D3_TRANSIT_RECEIPTS	INDEPENDENT_RECONSTRUCTION_PARITY	resolved auction departure and adjacent-node topology	BEHAVIORAL_ORACLE	INDEPENDENT_RECONSTRUCTION	PASS_EXACT	7 completed transit receipts	transit-bearing five-session bounded US30 M5 oracle	small certified population; no general transition law claimed	P12_BD_MACHINE
90	P0_MT5_CAPTURE_REPLAY	DETERMINISM_NOT_PARITY	same bounded market window and observer instance	AUTHORITATIVE_CAPTURE	VALIDATOR_ONLY	PASS_MATCH	canonical semantic capture and frame prefixes	two fresh headless invocations	does not independently reconstruct producer semantics	MT5_ORACLE_DETERMINISM
100	P11_FROZEN_MODEL_INFERENCE	IMPLEMENTATION_PARITY_NOT_MARKET_CONFIRMATION	sealed Phase 11 rows and frozen model artifacts	REFERENCE_ARTIFACT	INDEPENDENT_INFERENCE	PASS_EXACT	scores and probabilities for four frozen candidates	maximum score and probability error 0.0 on sealed development rows	does not establish holdout transport, economics, or policy	P11_INFERENCE
110	G13R_BEHAVIORAL_HOLDOUT	CONFIRMATION_NOT_IMPLEMENTATION_PARITY	twelve prospectively authorized recovery windows	SEALED_DATA_SOURCE	FROZEN_EVALUATOR	PASS_FOUR_CANDIDATES	initial acceptance, reclaim, rejection, and retest hold	one-shot behavioral transport under frozen contracts	not mechanism, economic usefulness, policy, or deployment authority	G13R_CONFIRMATION
120	RG3_RAW_MARKET_OBJECT_CORPUS	OBSERVATIONAL_AUTHORITY_AND_SEALING	closed-bar MT5 compression, expansion, and structural observations	RAW_OBSERVATIONAL_AUTHORITY	VALIDATION_PACKING_AND_DERIVATION	PASS_SEALED	42 runs and 1091 objects	sealed RG3 corpus under one admitted configuration hash	not an independent Rust implementation of MT5 object sensors	RG3_CORPUS
130	G15_TO_G16_5_DERIVED_SCIENCE	DERIVED_REBUILD_DETERMINISM_NOT_MT5_PARITY	sealed RG3 corpus plus frozen representation contracts	NO_RUNTIME_ROLE	DERIVED_SCIENTIFIC_AUTHORITY	PASS_DETERMINISTIC	atlas, representation/distance laboratory, and loss census	deterministic derived artifacts through Gate 16.5	no universal taxonomy, preferred representation, mechanism, economics, or trading meaning	RG3_CORPUS,G15_5_ATLAS,G16_REPLAY,G16_5_REPLAY
